Time;Temperature;Power;
0;19.6377;0
10;19.2787;0
20;18.9229;0
30;19.3251;3000
40;18.969;0
50;19.3708;3000
60;19.0142;0
70;18.6608;0
80;19.0654;3000
90;18.7116;0
100;19.1158;3000
110;18.7615;0
120;19.1652;3000
130;18.8104;0
140;19.2137;3000
150;18.8585;0
160;19.2614;3000
170;18.9057;0
180;19.3082;3000
190;18.9521;0
200;19.3541;3000
210;18.9976;0
220;19.3992;3000
230;19.0424;0
240;18.6887;0
250;19.0931;3000
260;18.739;0
270;19.1429;3000
280;18.7884;0
290;19.1919;3000
300;18.8369;0
310;19.2399;3000
320;18.8845;0
330;19.2871;3000
340;18.9312;0
350;19.3334;3000
360;18.9771;0
370;19.3789;3000
380;19.0222;0
390;18.6688;0
400;19.0733;3000
410;18.7194;0
420;19.1235;3000
430;18.7692;0
440;19.1728;3000
450;18.818;0
460;19.2212;3000
470;18.8659;0
480;19.2687;3000
490;18.913;0
500;19.3154;3000
510;18.9593;0
520;19.3612;3000
530;19.0047;0
540;18.6514;0
550;19.0561;3000
560;18.7023;0
570;19.1066;3000
580;18.7524;0
590;19.1562;3000
600;18.8015;0
610;19.2049;3000
620;18.8498;0
630;19.2527;3000
640;18.8971;0
650;19.2996;3000
660;18.9437;0
670;19.3457;3000
680;18.9894;0
690;19.391;3000
700;19.0342;0
710;18.6807;0
720;19.0851;3000
730;18.7311;0
740;19.1351;3000
750;18.7806;0
760;19.1842;3000
770;18.8292;0
780;19.2323;3000
790;18.877;0
800;19.2797;3000
810;18.9239;0
820;19.3261;3000
830;18.9699;0
840;19.3717;3000
850;19.0151;0
860;18.6617;0
870;19.0664;3000
880;18.7125;0
890;19.1167;3000
900;18.7624;0
910;19.1661;3000
920;18.8113;0
930;19.2146;3000
940;18.8594;0
950;19.2622;3000
960;18.9066;0
970;19.309;3000
980;18.953;0
990;19.3549;3000
1000;18.9985;0
1010;19.4;3000
1020;19.0432;0
1030;18.6895;0
1040;19.0939;3000
1050;18.7398;0
1060;19.1437;3000
1070;18.7892;0
1080;19.1926;3000
1090;18.8376;0
1100;19.2407;3000
1110;18.8852;0
1120;19.2878;3000
1130;18.932;0
1140;19.3341;3000
1150;18.9779;0
1160;19.3796;3000
1170;19.0229;0
1180;18.6695;0
1190;19.074;3000
1200;18.7201;0
1210;19.1242;3000
1220;18.7698;0
1230;19.1735;3000
1240;18.8187;0
1250;19.2219;3000
1260;18.8666;0
1270;19.2694;3000
1280;18.9137;0
1290;19.316;3000
1300;18.9599;0
1310;19.3618;3000
1320;19.0053;0
1330;18.652;0
1340;19.0567;3000
1350;18.7029;0
1360;19.1072;3000
1370;18.753;0
1380;19.1568;3000
1390;18.8021;0
1400;19.2054;3000
1410;18.8503;0
1420;19.2532;3000
1430;18.8977;0
1440;19.3002;3000
1450;18.9442;0
1460;19.3463;3000
1470;18.9899;0
1480;19.3915;3000
1490;19.0347;0
1500;18.6812;0
1510;19.0856;3000
1520;18.7316;0
1530;19.1356;3000
1540;18.7811;0
1550;19.1846;3000
1560;18.8297;0
1570;19.2328;3000
1580;18.8775;0
1590;19.2801;3000
1600;18.9243;0
1610;19.3266;3000
1620;18.9704;0
1630;19.3722;3000
1640;19.0156;0
1650;18.6622;0
1660;19.0668;3000
1670;18.713;0
1680;19.1171;3000
1690;18.7628;0
1700;19.1665;3000
1710;18.8118;0
1720;19.215;3000
1730;18.8598;0
1740;19.2626;3000
1750;18.907;0
1760;19.3094;3000
1770;18.9534;0
1780;19.3553;3000
1790;18.9989;0
1800;19.4004;3000
1810;19.0436;0
